Entity,Code,Year,Suicide (deaths),Homicide (deaths),Nutritional deficiencies (deaths),Protein-energy malnutrition (deaths),Natural disasters (deaths),Heat-related deaths (hot or cold exposure) (deaths),Diarrheal diseases (deaths),Road accidents (deaths),Tuberculosis (deaths),HIV/AIDS (deaths),Drowning (deaths),Malaria (deaths),Fire (deaths),Cancers (deaths),Hepatitis (deaths),Digestive diseases (deaths),Liver disease (deaths),Respiratory disease (deaths),Kidney disease (deaths),Cardiovascular disease (deaths),Drug overdose (deaths),Alcohol disorder (deaths),Parkinson's disease (deaths),Dementia (deaths),Lower respiratory infections (deaths),Diabetes mellitus
United States,USA,1990,21572.81496,20311.14853,90.52007001,68.9674846,116.6903082,330.1922679,24.50550615,31987.4644,413.0740305,23424.05851,2382.988241,0,1604.576818,41250.37513,510.7636788,10913.99275,8492.70916,2962.068128,1820.651499,36167.63696,4857.819094,2860.564073,57.4455728,145.9934736,3808.448406,3483.023055
United States,USA,1991,21822.50116,20691.77021,92.94409372,70.83868984,66.32794796,311.0833111,26.12535641,31116.28016,397.7240523,27352.37613,2304.429437,0,1528.281992,42040.46431,590.2595074,10976.33082,8515.253813,3065.752397,1857.037864,36647.45307,5235.007609,2951.225146,59.63886506,151.2319394,3865.429412,3633.584028
United States,USA,1992,21827.05397,20378.00749,95.56007959,73.23221241,75.52755967,304.1748766,27.93841121,29793.92802,370.5666641,30984.68177,2185.454735,0,1435.466901,42489.59418,679.9643614,11022.77011,8533.269291,3123.165257,1876.047916,36978.77576,5681.205408,3037.980136,62.59554542,160.2293388,3848.60413,3764.16969
United States,USA,1993,22588.28763,20714.31965,101.3482851,77.42872881,167.4902528,337.415752,30.81057185,30014.02544,352.537302,34511.7271,2209.865623,0,1480.424452,43602.03912,810.4215283,11168.98278,8648.166668,3288.761636,1950.727687,38272.84048,6429.971562,3173.883008,66.17289428,170.1750467,3951.429784,3996.713689
United States,USA,1994,22832.16026,20138.42205,104.1746054,79.64151719,134.5231409,315.8075771,34.00043941,29789.46065,324.2523971,38208.2596,2149.58882,0,1401.572551,44001.09411,952.4338642,11235.54439,8680.329497,3398.904558,1979.212675,38742.18672,6968.634011,3228.10623,68.7840514,179.1554313,3936.748162,4160.967772
United States,USA,1995,22983.1063,19396.2034,109.3792697,83.58508976,96.86220572,438.2367025,38.10876823,29688.14126,296.9816943,38365.7693,2133.515226,0,1365.550969,44703.53692,1109.747548,11341.54966,8748.528032,3537.599058,2042.334601,39576.29932,7566.965769,3318.256036,72.34851969,191.4761497,3938.416033,4338.958334
United States,USA,1996,22690.72096,17921.52093,112.6729811,86.28414137,151.4855789,319.4708951,42.67242869,29230.48759,269.5709416,28178.39862,2060.991584,0,1343.756153,44925.77666,1281.014096,11389.30011,8772.969361,3632.169562,2090.000613,39923.01716,8070.473478,3394.81194,75.03870443,204.409638,3885.327238,4483.894176
United States,USA,1997,22400.89398,17320.2572,118.6554462,91.33645263,155.3071262,309.4998495,49.67372584,28926.54078,246.8404047,15706.3232,2020.426451,0,1285.702849,44565.45061,1445.947478,11295.26332,8649.462406,3699.86287,2138.559224,39930.3439,8648.288957,3473.398612,75.78557513,211.8533819,3809.654588,4559.156677
United States,USA,1998,21997.42354,15904.22458,122.9334881,95.0473193,133.0023425,347.7516341,58.12700014,28677.11814,227.236829,12417.39592,2019.371889,0,1242.263821,43957.74242,1621.498916,11161.5698,8501.523665,3749.889642,2189.561886,39687.33022,9199.987728,3586.743383,76.49672666,222.0421078,3683.958051,4602.158122
United States,USA,1999,21704.08473,15249.18203,135.4002364,105.131662,161.7907312,412.3743848,78.0294955,28899.48934,204.8070246,12922.42564,1964.659823,0,1234.691433,43924.89971,1667.18476,11070.61165,8352.242558,3912.744689,2354.166615,40145.41791,10120.99868,3911.298918,78.71517578,237.2298188,3531.457885,4700.26297
United States,USA,2000,21885.01851,15129.0966,142.2232685,110.2699858,83.88768406,353.0359788,95.71047827,29370.11437,183.2485674,12177.11587,1957.389527,0,1232.67258,44181.98675,1694.763694,11164.71417,8405.212855,4059.299251,2484.327237,40844.91751,11081.83359,4136.370404,81.37222911,254.132706,3494.447684,4821.728239
United States,USA,2001,22426.92529,15332.25162,146.970605,113.3491883,81.92556078,350.2291946,114.783503,29966.74593,174.6367066,11599.46574,1967.737421,0,1229.630094,44732.42445,1660.16504,11268.1341,8481.817971,4201.772336,2641.711611,41722.79553,12249.13187,4381.377037,84.52464088,270.597305,3483.97284,5007.421349
United States,USA,2002,23008.8684,15526.56303,150.3434659,116.0931497,121.0283126,361.7770768,137.1130434,30450.69799,167.7388213,11223.23019,2003.18516,0,1216.054694,44885.49778,1545.934727,11413.12262,8590.864149,4311.629199,2763.757533,42398.40997,13652.8862,4595.49607,87.5234783,286.4253243,3503.043506,5163.392843
United States,USA,2003,23233.85833,15573.29471,149.3950629,114.9588301,107.5095173,356.496074,157.1968209,30399.56756,159.1462787,10568.96262,1988.74541,0,1286.110626,44623.01706,1331.634658,11478.17864,8656.926747,4371.299425,2878.622183,42538.41907,14774.5321,4724.574502,89.68349375,299.2863758,3507.691539,5224.606679
United States,USA,2004,23028.05618,15285.63812,147.493726,114.0463211,93.59236131,353.495324,175.7463582,29683.7877,147.2224813,9802.257091,1963.84369,0,1142.708128,43480.47285,1047.420395,11413.94234,8618.729227,4302.039488,2897.436116,41336.24642,15505.84197,4708.862813,89.38431525,306.2815463,3405.727973,5125.559697
United States,USA,2005,23574.85488,15682.89064,150.9868355,116.6656378,982.9693427,386.1577278,194.1537553,29844.79462,142.101035,9123.744926,2023.666172,0,1132.520939,43356.76932,745.8742413,11620.55383,8830.122528,4393.314063,3016.347312,41595.19089,16866.38973,4818.82188,90.95362458,316.2003925,3441.370416,5208.882646
United States,USA,2006,23866.83075,16148.32003,151.2335106,116.750367,93.28784987,421.731375,209.5870851,29398.52844,136.2369617,8480.700639,2031.332597,0,1108.14719,42590.67575,523.0812289,11696.70269,8910.421792,4370.787587,3070.186757,40989.0488,17949.83834,4837.184215,90.90720719,321.759985,3414.909105,5165.489483
United States,USA,2007,23869.23624,15385.56417,149.793473,115.889103,147.9047186,352.8541283,219.1341812,28044.19751,127.0148439,7687.189905,1980.276926,0,1060.18338,41341.95227,400.3379954,11634.15478,8880.336872,4277.946377,3057.331469,39518.95038,18669.31868,4802.942448,89.76796776,321.8203176,3375.472795,5019.967147
United States,USA,2008,23879.85266,14868.55497,150.7693157,116.7675644,143.4264418,340.0442037,227.6062293,26335.3035,118.5605449,6620.527572,1929.89727,0,973.7755766,40449.29616,324.8772381,11545.00569,8831.034371,4216.468602,3093.722379,38468.59592,19649.39007,4818.167395,89.24252518,321.9197627,3399.768196,4920.563177
United States,USA,2009,23876.29217,14251.11744,150.1855841,116.8642346,61.16230632,346.8728139,232.6225899,24603.73478,112.2605168,5893.17638,1862.374034,0,920.0900124,39676.17329,277.0979702,11413.25079,8748.607402,4158.057513,3141.140172,37429.68492,20978.41551,4823.042655,88.83922186,321.4356581,3463.583584,4834.676458
United States,USA,2010,23510.28943,13580.02977,145.6123001,113.8143311,88.56736983,318.6420525,231.144173,22925.5298,104.0354289,4938.238083,1794.166093,0,855.761934,37823.4309,239.6890703,11107.77731,8529.157657,3957.605531,3095.949236,35499.05644,22399.12572,4739.550023,86.09735654,312.8800333,3244.856306,4604.232841
United States,USA,2011,23782.45648,13467.9003,146.3415434,114.3918863,341.2476322,339.3192138,237.9293127,22300.10445,99.94008272,4328.309079,1762.672308,0,827.0141021,36874.5236,217.7733303,10938.47345,8406.231039,3917.668567,3160.7746,34874.0876,24396.54504,4758.209842,85.14807794,307.4031549,3221.565658,4449.4488
United States,USA,2012,23717.26473,13251.49485,145.221834,113.3546296,107.197982,318.1455502,240.1998593,21671.64901,94.4943942,3887.995372,1710.372692,0,785.3235583,35619.89556,199.4373912,10728.14878,8245.469006,3797.576922,3142.931904,33827.05421,26320.05635,4715.316913,82.95683749,298.9907755,3118.981058,4294.428271
United States,USA,2013,23639.31542,13022.56218,146.5368553,114.5611242,97.22024064,309.0642071,241.2705214,21110.04228,93.8777709,3610.983757,1663.120003,0,782.2593667,34591.23153,190.1353533,10519.36312,8079.23506,3713.146464,3165.595308,33050.77638,28833.35958,4715.231027,81.23045699,290.941887,3126.522244,4170.043885
United States,USA,2014,23907.78164,13106.19614,147.4581933,114.9413935,115.1649561,298.717611,241.3079795,21074.43413,91.57933044,3362.17663,1652.56918,0,762.396083,33900.3478,184.49749,10355.85422,7945.237168,3655.39011,3190.208082,32619.35737,32167.96203,4762.339916,79.68441872,283.1867785,3161.037245,4126.3556
United States,USA,2015,24719.37571,13813.03881,150.8035212,117.0239014,116.5313986,303.4105474,244.3966866,21804.63694,93.93871138,3125.386551,1707.856131,0,764.6830489,33655.43482,181.0821416,10287.74188,7907.415231,3650.962643,3236.480026,32784.6699,36727.34326,4915.799913,79.10148136,278.0258078,3105.697199,4181.896766
